# opusid, pds_location, start_time, obs_name
co-vims-v1516018882_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018882_1.qub, 2006-01-15T11:51:52.310, VIMS_020TI_SOLAROCC002
co-vims-v1516018889_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018889_1.qub, 2006-01-15T11:51:59.608, VIMS_020TI_SOLAROCC002
co-vims-v1516018896_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018896_1.qub, 2006-01-15T11:52:06.887, VIMS_020TI_SOLAROCC002
co-vims-v1516018904_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018904_1.qub, 2006-01-15T11:52:14.165, VIMS_020TI_SOLAROCC002
co-vims-v1516018911_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018911_1.qub, 2006-01-15T11:52:21.468, VIMS_020TI_SOLAROCC002
co-vims-v1516018918_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018918_1.qub, 2006-01-15T11:52:28.743, VIMS_020TI_SOLAROCC002
co-vims-v1516018925_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018925_1.qub, 2006-01-15T11:52:36.022, VIMS_020TI_SOLAROCC002
co-vims-v1516018933_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018933_1.qub, 2006-01-15T11:52:43.300, VIMS_020TI_SOLAROCC002
co-vims-v1516018940_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018940_1.qub, 2006-01-15T11:52:50.603, VIMS_020TI_SOLAROCC002
co-vims-v1516018947_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018947_1.qub, 2006-01-15T11:52:57.881, VIMS_020TI_SOLAROCC002
co-vims-v1516018955_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018955_1.qub, 2006-01-15T11:53:05.157, VIMS_020TI_SOLAROCC002
co-vims-v1516018962_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018962_1.qub, 2006-01-15T11:53:12.458, VIMS_020TI_SOLAROCC002
co-vims-v1516018969_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018969_1.qub, 2006-01-15T11:53:19.737, VIMS_020TI_SOLAROCC002
co-vims-v1516018976_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018976_1.qub, 2006-01-15T11:53:27.014, VIMS_020TI_SOLAROCC002
co-vims-v1516018984_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018984_1.qub, 2006-01-15T11:53:34.292, VIMS_020TI_SOLAROCC002
co-vims-v1516018991_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018991_1.qub, 2006-01-15T11:53:41.594, VIMS_020TI_SOLAROCC002
co-vims-v1516018998_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516018998_1.qub, 2006-01-15T11:53:48.872, VIMS_020TI_SOLAROCC002
co-vims-v1516019006_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019006_1.qub, 2006-01-15T11:53:56.152, VIMS_020TI_SOLAROCC002
co-vims-v1516019013_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019013_1.qub, 2006-01-15T11:54:03.450, VIMS_020TI_SOLAROCC002
co-vims-v1516019020_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019020_1.qub, 2006-01-15T11:54:10.729, VIMS_020TI_SOLAROCC002
co-vims-v1516019027_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019027_1.qub, 2006-01-15T11:54:18.007, VIMS_020TI_SOLAROCC002
co-vims-v1516019035_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019035_1.qub, 2006-01-15T11:54:25.304, VIMS_020TI_SOLAROCC002
co-vims-v1516019042_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019042_1.qub, 2006-01-15T11:54:32.582, VIMS_020TI_SOLAROCC002
co-vims-v1516019049_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019049_1.qub, 2006-01-15T11:54:39.861, VIMS_020TI_SOLAROCC002
co-vims-v1516019057_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019057_1.qub, 2006-01-15T11:54:47.139, VIMS_020TI_SOLAROCC002
co-vims-v1516019064_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019064_1.qub, 2006-01-15T11:54:54.439, VIMS_020TI_SOLAROCC002
co-vims-v1516019071_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019071_1.qub, 2006-01-15T11:55:01.717, VIMS_020TI_SOLAROCC002
co-vims-v1516019078_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019078_1.qub, 2006-01-15T11:55:08.996, VIMS_020TI_SOLAROCC002
co-vims-v1516019086_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019086_1.qub, 2006-01-15T11:55:16.275, VIMS_020TI_SOLAROCC002
co-vims-v1516019093_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019093_1.qub, 2006-01-15T11:55:23.574, VIMS_020TI_SOLAROCC002
co-vims-v1516019100_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019100_1.qub, 2006-01-15T11:55:30.853, VIMS_020TI_SOLAROCC002
co-vims-v1516019108_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019108_1.qub, 2006-01-15T11:55:38.131, VIMS_020TI_SOLAROCC002
co-vims-v1516019115_ir, COVIMS_0010/data/2006015T114813_2006015T115552/v1516019115_1.qub, 2006-01-15T11:55:45.434, VIMS_020TI_SOLAROCC002
co-vims-v1516019122_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019122_1.qub, 2006-01-15T11:55:52.712, VIMS_020TI_SOLAROCC002
co-vims-v1516019129_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019129_1.qub, 2006-01-15T11:55:59.988, VIMS_020TI_SOLAROCC002
co-vims-v1516019137_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019137_1.qub, 2006-01-15T11:56:07.266, VIMS_020TI_SOLAROCC002
co-vims-v1516019144_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019144_1.qub, 2006-01-15T11:56:14.568, VIMS_020TI_SOLAROCC002
co-vims-v1516019151_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019151_1.qub, 2006-01-15T11:56:21.846, VIMS_020TI_SOLAROCC002
co-vims-v1516019159_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019159_1.qub, 2006-01-15T11:56:29.125, VIMS_020TI_SOLAROCC002
co-vims-v1516019166_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019166_1.qub, 2006-01-15T11:56:36.424, VIMS_020TI_SOLAROCC002
co-vims-v1516019173_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019173_1.qub, 2006-01-15T11:56:43.703, VIMS_020TI_SOLAROCC002
co-vims-v1516019180_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019180_1.qub, 2006-01-15T11:56:50.981, VIMS_020TI_SOLAROCC002
co-vims-v1516019188_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019188_1.qub, 2006-01-15T11:56:58.260, VIMS_020TI_SOLAROCC002
co-vims-v1516019195_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019195_1.qub, 2006-01-15T11:57:05.559, VIMS_020TI_SOLAROCC002
co-vims-v1516019202_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019202_1.qub, 2006-01-15T11:57:12.838, VIMS_020TI_SOLAROCC002
co-vims-v1516019210_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019210_1.qub, 2006-01-15T11:57:20.115, VIMS_020TI_SOLAROCC002
co-vims-v1516019217_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019217_1.qub, 2006-01-15T11:57:27.416, VIMS_020TI_SOLAROCC002
co-vims-v1516019224_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019224_1.qub, 2006-01-15T11:57:34.692, VIMS_020TI_SOLAROCC002
co-vims-v1516019231_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019231_1.qub, 2006-01-15T11:57:41.970, VIMS_020TI_SOLAROCC002
co-vims-v1516019239_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019239_1.qub, 2006-01-15T11:57:49.249, VIMS_020TI_SOLAROCC002
co-vims-v1516019246_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019246_1.qub, 2006-01-15T11:57:56.551, VIMS_020TI_SOLAROCC002
co-vims-v1516019253_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019253_1.qub, 2006-01-15T11:58:03.827, VIMS_020TI_SOLAROCC002
co-vims-v1516019261_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019261_1.qub, 2006-01-15T11:58:11.108, VIMS_020TI_SOLAROCC002
co-vims-v1516019268_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019268_1.qub, 2006-01-15T11:58:18.407, VIMS_020TI_SOLAROCC002
co-vims-v1516019275_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019275_1.qub, 2006-01-15T11:58:25.686, VIMS_020TI_SOLAROCC002
co-vims-v1516019282_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019282_1.qub, 2006-01-15T11:58:32.965, VIMS_020TI_SOLAROCC002
co-vims-v1516019290_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019290_1.qub, 2006-01-15T11:58:40.240, VIMS_020TI_SOLAROCC002
co-vims-v1516019297_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019297_1.qub, 2006-01-15T11:58:47.540, VIMS_020TI_SOLAROCC002
co-vims-v1516019304_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019304_1.qub, 2006-01-15T11:58:54.818, VIMS_020TI_SOLAROCC002
co-vims-v1516019312_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019312_1.qub, 2006-01-15T11:59:02.097, VIMS_020TI_SOLAROCC002
co-vims-v1516019319_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019319_1.qub, 2006-01-15T11:59:09.398, VIMS_020TI_SOLAROCC002
co-vims-v1516019326_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019326_1.qub, 2006-01-15T11:59:16.677, VIMS_020TI_SOLAROCC002
co-vims-v1516019333_ir, COVIMS_0010/data/2006015T115559_2006015T120338/v1516019333_1.qub, 2006-01-15T11:59:23.954, VIMS_020TI_SOLAROCC002
